Denomination,Cleaned Denomination,Numéro Déclaration Activité,Siret Etablissement Déclarant,Adresse Organisme Formation,URL
01 AFFORP,01 AFFORP,11788457578,89017665400014,nan nan nan,No valid URL found
01 CONTROLE,01 CONTROLE,11756782875,33506030700063,106 AV PHILIPPE AUGUSTE 75011.0 PARIS 11,No valid URL found
01 CQFD AUDIT,01 CQFD AUDIT,11922694992,89461217500014,33  RUE ANNA JACQUIN 92100.0 BOULOGNE BILLANCOURT,No valid URL found
01MARS,01MARS,93061133106,80188068300025,84  RUE MARECHAL JOFFRE 6000.0 NICE,https://01mars.com/
05 VERIFICATIONS,05 VERIFICATIONS,93050103005,82164621300024,RUE BELLE AUREILLE N F107 BAT FERME BELLE AUREILLE MICROP 5000.0 GAP,https://nostr.how/en/guides/get-verified
07H01,07H01,32800243480,95297508400015,6  PLACE D’HEDOUVILLE 80300.0 ALBERT,No valid URL found
0CEAN INDIEN INFORMATIQUE SARL,0CEAN INDIEN INFORMATIQUE SARL,98970223197,38452004500046,nan nan nan,https://ocii.fr/
0FC.TECH,0FCTECH,52490410349,91742951600029,8  PLACE MONSEIGNEUR RUMEAU 49100.0 ANGERS,No valid URL found
0'LISTY,0'LISTY,2973363297,88943425400013,16 avenue Nelson Mandela 97227.0 STE ANNE,No valid URL found
1000&1FORMATIONS,10001FORMATIONS,11950818695,95204110100017,11 AV GEORGES CLEMENCEAU APP 33 95160.0 MONTMORENCY,https://hitchhikers.fandom.com/wiki/Dan_Streetmentioner
